matematicas,matricula,tipo,probabilidad_logistica
34.0,0.0,punto_azul,
36.0,0.0,punto_azul,
37.0,0.0,punto_azul,
38.0,0.0,punto_azul,
39.0,0.0,punto_azul,
40.0,0.0,punto_azul,
41.0,0.0,punto_azul,
42.0,0.0,punto_azul,
43.0,0.0,punto_azul,
44.0,0.0,punto_azul,
45.0,0.0,punto_azul,
46.0,0.0,punto_azul,
47.0,0.0,punto_azul,
48.0,0.0,punto_azul,
49.0,0.0,punto_azul,
50.0,0.0,punto_azul,
51.0,0.0,punto_azul,
52.0,0.0,punto_azul,
53.0,0.0,punto_azul,
54.0,0.0,punto_azul,
55.0,0.0,punto_azul,
56.0,0.0,punto_azul,
57.0,0.0,punto_azul,
58.0,0.0,punto_azul,
59.0,0.0,punto_azul,
60.0,0.0,punto_azul,
61.0,0.0,punto_azul,
62.0,0.0,punto_azul,
63.0,0.0,punto_azul,
64.0,0.0,punto_azul,
65.0,0.0,punto_azul,
66.0,0.0,punto_azul,
70.0,0.0,punto_azul,
71.0,0.0,punto_azul,
75.0,0.0,punto_azul,
41.0,1.0,punto_azul,
45.0,1.0,punto_azul,
48.0,1.0,punto_azul,
49.0,1.0,punto_azul,
51.0,1.0,punto_azul,
53.0,1.0,punto_azul,
54.0,1.0,punto_azul,
55.0,1.0,punto_azul,
56.0,1.0,punto_azul,
57.0,1.0,punto_azul,
58.0,1.0,punto_azul,
60.0,1.0,punto_azul,
61.0,1.0,punto_azul,
62.0,1.0,punto_azul,
63.0,1.0,punto_azul,
64.0,1.0,punto_azul,
65.0,1.0,punto_azul,
66.0,1.0,punto_azul,
67.0,1.0,punto_azul,
68.0,1.0,punto_azul,
69.0,1.0,punto_azul,
71.0,1.0,punto_azul,
72.0,1.0,punto_azul,
73.0,1.0,punto_azul,
75.0,1.0,punto_azul,
34.0,,curva_logistica,0.006114803366734725
34.83673469387755,,curva_logistica,0.007112415645382672
35.673469387755105,,curva_logistica,0.008271430928240748
36.51020408163265,,curva_logistica,0.009617485976417792
37.3469387755102,,curva_logistica,0.01118012245941529
38.183673469387756,,curva_logistica,0.012993323087712793
39.02040816326531,,curva_logistica,0.015096100505013784
39.85714285714286,,curva_logistica,0.017533136253780248
40.69387755102041,,curva_logistica,0.020355463305110514
41.53061224489796,,curva_logistica,0.02362118033685254
42.36734693877551,,curva_logistica,0.027396178777055268
43.20408163265306,,curva_logistica,0.031754854200374834
44.04081632653062,,curva_logistica,0.036780761580880304
44.87755102040816,,curva_logistica,0.04256715885445992
45.714285714285715,,curva_logistica,0.04921736510909023
46.55102040816327,,curva_logistica,0.05684483874357403
47.38775510204081,,curva_logistica,0.06557285795149484
48.224489795918366,,curva_logistica,0.0755336626292398
49.06122448979592,,curva_logistica,0.08686689625249645
49.89795918367347,,curva_logistica,0.09971717298119104
50.734693877551024,,curva_logistica,0.11423059562355475
51.57142857142857,,curva_logistica,0.13055007225600193
52.40816326530612,,curva_logistica,0.1488093325441891
53.244897959183675,,curva_logistica,0.16912563813501524
54.08163265306123,,curva_logistica,0.1915913210756953
54.91836734693878,,curva_logistica,0.21626446984825357
55.755102040816325,,curva_logistica,0.2431593034357315
56.59183673469388,,curva_logistica,0.27223700464128237
57.42857142857143,,curva_logistica,0.30339798370767407
58.265306122448976,,curva_logistica,0.3364766586987435
59.102040816326536,,curva_logistica,0.37123981381747817
59.93877551020408,,curva_logistica,0.40738938754322657
60.775510204081634,,curva_logistica,0.44457013761744424
61.61224489795919,,curva_logistica,0.48238206480518475
62.44897959183673,,curva_logistica,0.5203968376661644
63.28571428571429,,curva_logistica,0.5581768684969992
64.12244897959184,,curva_logistica,0.5952952746739512
64.9591836734694,,curva_logistica,0.6313548168590035
65.79591836734694,,curva_logistica,0.6660040703385904
66.63265306122449,,curva_logistica,0.698949518472881
67.46938775510205,,curva_logistica,0.7299628572895355
68.3061224489796,,curva_logistica,0.758883438335358
69.14285714285714,,curva_logistica,0.7856163326052212
69.9795918367347,,curva_logistica,0.8101268894827282
70.81632653061224,,curva_logistica,0.8324328595718326
71.65306122448979,,curva_logistica,0.8525951635556233
72.48979591836735,,curva_logistica,0.8707082656743752
73.32653061224491,,curva_logistica,0.8868909066218044
74.16326530612245,,curva_logistica,0.901277719380548
75.0,,curva_logistica,0.9140120326007685
